vehicleID,vehicleLID,diffBrakingDistanceMin,diffBrakingDistanceMax,diffBrakingDistanceValue,brakingDistanceMin,brakingDistanceMax,brakingDistanceValue,distanceMin,distanceMax,distanceValue,distanceTimestamp,vehPosMin,vehPosMax,vehPosValue,vehPosTimestamp,vehSpeedMin,vehSpeedMax,vehSpeedValue,vehSpeedTimestamp,refPosMin,refPosMax,refPosValue,refPosTimestamp,refSpeedMin,refSpeedMax,refSpeedValue,refSpeedTimestamp,vehDiseredDistance,refLength,currentTime
Vehicle3,Vehicle2,64.464336,64.464336,66.103823,12.829759,12.829759,13.852871,21.491434,21.491434,21.486129,145065328.487100,18.552337,18.552337,18.552337,145065328.487100,32.037871,32.037871,32.037871,145065328.487100,43.043771,43.043771,43.043771,145065328.487100,66.822412,66.822412,66.822412,145065328.487100,5.000000,3.000000,145065328.487100
Vehicle3,Vehicle2,65.284809,65.284809,66.659854,13.978073,13.978073,14.955084,21.952919,21.952919,21.947855,145065446.193900,20.306534,20.306534,20.306534,145065446.193900,33.455630,33.455630,33.455630,145065446.193900,45.259452,45.259452,45.259452,145065446.193900,67.711257,67.711257,67.711257,145065446.193900,5.000000,3.000000,145065446.193900
Vehicle3,Vehicle2,65.924978,65.924978,67.213766,15.182302,15.182302,16.143730,22.339903,22.339903,22.334648,145065559.801000,22.085202,22.085202,22.085202,145065559.801000,34.852972,34.852972,34.852972,145065559.801000,47.425105,47.425105,47.425105,145065559.801000,68.570683,68.570683,68.570683,145065559.801000,5.000000,3.000000,145065559.801000
Vehicle3,Vehicle2,66.412909,66.412909,67.572674,16.404406,16.404406,17.335820,22.621358,22.621358,22.616324,145065665.521500,23.843381,23.843381,23.843381,145065665.521500,36.229416,36.229416,36.229416,145065665.521500,49.464739,49.464739,49.464739,145065665.521500,69.398214,69.398214,69.398214,145065665.521500,5.000000,3.000000,145065665.521500
Vehicle3,Vehicle2,66.862065,66.862065,68.016002,17.647425,17.647425,18.664931,22.916260,22.916260,22.910299,145065775.774100,25.700003,25.700003,25.700003,145065775.774100,37.584354,37.584354,37.584354,145065775.774100,51.616263,51.616263,51.616263,145065775.774100,70.196018,70.196018,70.196018,145065775.774100,5.000000,3.000000,145065775.774100
Vehicle3,Vehicle2,67.293440,67.293440,68.539196,18.932119,18.932119,20.080368,23.290698,23.290698,23.282730,145065898.226100,27.741230,27.741230,27.741230,145065898.226100,38.917477,38.917477,38.917477,145065898.226100,54.031928,54.031928,54.031928,145065898.226100,70.962051,70.962051,70.962051,145065898.226100,5.000000,3.000000,145065898.226100
Vehicle3,Vehicle2,67.599094,67.599094,68.721279,20.218681,20.218681,21.357239,23.568124,23.568124,23.560521,145066013.536900,29.762121,29.762121,29.762121,145066013.536900,40.228512,40.228512,40.228512,145066013.536900,56.330244,56.330244,56.330244,145066013.536900,71.695999,71.695999,71.695999,145066013.536900,5.000000,3.000000,145066013.536900
Vehicle3,Vehicle2,67.834349,67.834349,68.942964,21.543925,21.543925,22.742471,23.850104,23.850104,23.841510,145066132.840800,31.881511,31.881511,31.881511,145066132.840800,41.516909,41.516909,41.516909,145066132.840800,58.731615,58.731615,58.731615,145066132.840800,72.403537,72.403537,72.403537,145066132.840800,5.000000,3.000000,145066132.840800
Vehicle3,Vehicle2,67.921919,67.921919,68.925410,22.875007,22.875007,24.030027,24.040824,24.040824,24.032926,145066244.952700,33.968579,33.968579,33.968579,145066244.952700,42.782520,42.782520,42.782520,145066244.952700,61.009403,61.009403,61.009403,145066244.952700,73.083078,73.083078,73.083078,145066244.952700,5.000000,3.000000,145066244.952700
Vehicle3,Vehicle2,67.845044,67.845044,68.716540,24.222098,24.222098,25.273107,24.108329,24.108329,24.101796,145066345.291700,35.957940,35.957940,35.957940,145066345.291700,44.024995,44.024995,44.024995,145066345.291700,63.066269,63.066269,63.066269,145066345.291700,73.738018,73.738018,73.738018,145066345.291700,5.000000,3.000000,145066345.291700
Vehicle3,Vehicle2,67.825596,67.825596,68.782371,25.586310,25.586310,26.813816,24.276112,24.276112,24.267270,145066460.378300,38.169554,38.169554,38.169554,145066460.378300,45.244079,45.244079,45.244079,145066460.378300,65.445666,65.445666,65.445666,145066460.378300,74.369920,74.369920,74.369920,145066460.378300,5.000000,3.000000,145066460.378300
Vehicle3,Vehicle2,67.617817,67.617817,68.411817,26.949353,26.949353,28.051096,24.304817,24.304817,24.297813,145066561.150800,40.241249,40.241249,40.241249,145066561.150800,46.439940,46.439940,46.439940,145066561.150800,67.546065,67.546065,67.546065,145066561.150800,74.974751,74.974751,74.974751,145066561.150800,5.000000,3.000000,145066561.150800
Vehicle3,Vehicle2,67.369224,67.369224,68.194645,28.336000,28.336000,29.504953,24.358135,24.358135,24.350178,145066667.369500,42.419092,42.419092,42.419092,145066667.369500,47.612209,47.612209,47.612209,145066667.369500,69.777227,69.777227,69.777227,145066667.369500,75.558837,75.558837,75.558837,145066667.369500,5.000000,3.000000,145066667.369500
Vehicle3,Vehicle2,67.128079,67.128079,67.936294,29.709305,29.709305,30.948940,24.415019,24.415019,24.406388,145066776.616400,44.674003,44.674003,44.674003,145066776.616400,48.761035,48.761035,48.761035,145066776.616400,72.089022,72.089022,72.089022,145066776.616400,76.119403,76.119403,76.119403,145066776.616400,5.000000,3.000000,145066776.616400
Vehicle3,Vehicle2,66.897431,66.897431,67.761432,31.107877,31.107877,32.499680,24.549987,24.549987,24.538905,145066899.052000,47.148248,47.148248,47.148248,145066899.052000,49.886419,49.886419,49.886419,145066899.052000,74.698234,74.698234,74.698234,145066899.052000,76.657905,76.657905,76.657905,145066899.052000,5.000000,3.000000,145066899.052000
Vehicle3,Vehicle2,66.456801,66.456801,67.128559,32.486631,32.486631,33.656806,24.498655,24.498655,24.491051,145066999.364700,49.351718,49.351718,49.351718,145066999.364700,50.988541,50.988541,50.988541,145066999.364700,76.850373,76.850373,76.850373,145066999.364700,77.173731,77.173731,77.173731,145066999.364700,5.000000,3.000000,145066999.364700
Vehicle3,Vehicle2,66.059710,66.059710,66.818389,33.886831,33.886831,35.242633,24.544308,24.544308,24.534009,145067115.303000,51.809528,51.809528,51.809528,145067115.303000,52.067134,52.067134,52.067134,145067115.303000,79.353836,79.353836,79.353836,145067115.303000,77.672874,77.672874,77.672874,145067115.303000,5.000000,3.000000,145067115.303000
Vehicle3,Vehicle2,65.640064,65.640064,66.370206,35.265926,35.265926,36.656194,24.570270,24.570270,24.559755,145067231.335000,54.304459,54.304459,54.304459,145067231.335000,53.122618,53.122618,53.122618,145067231.335000,81.874729,81.874729,81.874729,145067231.335000,78.150522,78.150522,78.150522,145067231.335000,5.000000,3.000000,145067231.335000
Vehicle3,Vehicle2,65.153804,65.153804,65.844726,36.658188,36.658188,38.040612,24.569702,24.569702,24.559218,145067346.335300,56.818190,56.818190,56.818190,145067346.335300,54.155030,54.155030,54.155030,145067346.335300,84.387891,84.387891,84.387891,145067346.335300,78.609825,78.609825,78.609825,145067346.335300,5.000000,3.000000,145067346.335300
Vehicle3,Vehicle2,64.635833,64.635833,65.299259,38.033310,38.033310,39.445370,24.554991,24.554991,24.544252,145067461.936100,59.373382,59.373382,59.373382,145067461.936100,55.164517,55.164517,55.164517,145067461.936100,86.928373,86.928373,86.928373,145067461.936100,79.051542,79.051542,79.051542,145067461.936100,5.000000,3.000000,145067461.936100
Vehicle3,Vehicle2,64.210299,64.210299,64.966154,39.408113,39.408113,41.089080,24.666180,24.666180,24.651047,145067599.646700,62.304822,62.304822,62.304822,145067599.646700,56.151269,56.151269,56.151269,145067599.646700,89.971001,89.971001,89.971001,145067599.646700,79.476144,79.476144,79.476144,145067599.646700,5.000000,3.000000,145067599.646700
